"Cod.Municipio","Clara.López","Enrique.Peñalosa","Juan.Manuel.Santos","Marta.Lucía.Ramírez","Oscar.Iván.Zuluaga"
5001,0.176137600696712,0.0705421293272371,0.111147398214675,0.211844110603092,0.430328761158284
5002,0.0706776308941397,0.0191527011554075,0.128135734360362,0.110960757780785,0.671073175809306
5021,0.0374408104834269,0.0210329258892192,0.516462944609624,0.0952538266710715,0.329809492346658
5030,0.12326257946342,0.0474086844090077,0.217325719211292,0.236396939984915,0.375606076931365
5031,0.164648117839607,0.0532460447354064,0.110856519367158,0.179705400981997,0.491543917075832
5034,0.0888255175327419,0.0309463455851289,0.124841571609632,0.178707224334601,0.576679340937896
5036,0.0980891719745223,0.0528662420382166,0.16104033970276,0.218895966029724,0.469108280254777
5038,0.0936193029490617,0.0517962466487936,0.228096514745308,0.161501340482574,0.464986595174263
5040,0.0984752223634053,0.0446844557390936,0.397289284201609,0.195256247352817,0.264294790343075
5042,0.129173508483853,0.040831964969896,0.283305966064587,0.162671045429666,0.384017515051998
5044,0.0532968190436065,0.0253844533389509,0.22824942068675,0.0901622077101327,0.60290709922056
5045,0.0778391252571181,0.0529392659954531,0.441485330735087,0.126339720688535,0.301396557323806
5051,0.0233081169494991,0.0103250868942956,0.639848701696994,0.0400736045798405,0.28644448987937
5079,0.167384747953468,0.0526712623869022,0.167277035760448,0.233627746660922,0.379039207238259
5086,0.0746060671025833,0.0363382999249652,0.310858612927431,0.217386643798907,0.360810376246114
5088,0.206075893836368,0.0719456021057249,0.14257512612415,0.247422680412371,0.331980697521386
5093,0.0233844868984236,0.0191042906357657,0.151790374778161,0.106274141350872,0.699446706336778
5101,0.0724729146944357,0.0301882823182918,0.132323551067634,0.246765541180183,0.518249710739455
5107,0.0641614177431408,0.0495356037151703,0.264652503469627,0.291662218426391,0.329988256645671
5120,0.0936936936936937,0.0552199258081611,0.516693163751987,0.108744038155803,0.225649178590355
5129,0.189686098654709,0.0701793721973094,0.173206278026906,0.278811659192825,0.288116591928251
5138,0.0365153886280647,0.0188836724047992,0.305790297339593,0.107042253521127,0.531768388106416
5142,0.0928028330382252,0.0799916675346318,0.313196542026872,0.19914592229976,0.31486303510051
5145,0.0506026600166251,0.0245220282626766,0.347256857855362,0.101101413133832,0.476517040731505
5147,0.0663048105576841,0.0390591741166454,0.414005959982972,0.133886760323542,0.346743295019157
5148,0.24975912643186,0.0709774114120544,0.103093887164115,0.217428540841452,0.358741034150519
5150,0.0860096788385394,0.0730312362516498,0.242410910690717,0.279696436427629,0.318851737791465
5154,0.199188727583262,0.0641545687446627,0.304227156276687,0.171327924850555,0.261101622544833
5172,0.0862234553409455,0.0345747518941415,0.496211716999253,0.12165190481272,0.26133817095294
5190,0.118005777254734,0.0327377768267893,0.361292393281267,0.211404728789986,0.276559323847224
5197,0.0474267370819095,0.0175002588795692,0.341721031376204,0.0767319043181112,0.516620068344206
5206,0.0391290627958347,0.0163037761649311,0.214578731461029,0.244135899863259,0.485852529714947
5209,0.0482488625542271,0.0286742143688499,0.133213416569675,0.0869749232885409,0.702888583218707
5212,0.237902342894679,0.0572585942631925,0.14090212393256,0.259032187431574,0.304904751477994
5234,0.0595963842758041,0.0191297035947025,0.515766239226403,0.0590708429682573,0.346436829934833
5237,0.0907200700372073,0.0520901729043554,0.0633617859487853,0.175859050120376,0.617968920989276
5240,0.0411531454292144,0.0250776979959276,0.261065266316579,0.0995606044368235,0.573143285821455
5250,0.140829929047517,0.0940657923027306,0.189636637282305,0.278972264029241,0.296495377338207
5264,0.103478937423586,0.0515727464710459,0.132710903634545,0.236856730021118,0.475380682449705
5266,0.164750957854406,0.0772851669403394,0.100383141762452,0.223316912972085,0.434263820470717
5282,0.113243761996161,0.0339091490722969,0.198229899765408,0.233312006824483,0.421305182341651
5284,0.080926724137931,0.0276939655172414,0.445581896551724,0.184698275862069,0.261099137931035
5306,0.0861344537815126,0.0227941176470588,0.313865546218487,0.152310924369748,0.424894957983193
5308,0.22385584788857,0.0632323678974132,0.163718770727393,0.29703736458103,0.252155648905594
5310,0.088615997344839,0.0767784046907844,0.196260648301803,0.260758933510344,0.377586016152229
5318,0.140297863155623,0.0465141377077488,0.100798618605655,0.302827541549752,0.409561838981222
5321,0.138450121912435,0.0374218170253366,0.231739637443019,0.178204176826036,0.414184246793173
5347,0.0603208556149733,0.0219251336898396,0.454224598930481,0.101390374331551,0.362139037433155
5353,0.0571030640668524,0.0306406685236769,0.326333833297622,0.142061281337047,0.443861152774802
5360,0.183315038419319,0.0652030735455543,0.173655323819978,0.245225027442371,0.332601536772777
5361,0.166610757016661,0.04729956390473,0.313317678631332,0.187409146818741,0.285362853628536
5364,0.0942618619887985,0.0384656028743527,0.136848779456832,0.257846348937969,0.472577406742048
5368,0.0821859775471298,0.0363270493539504,0.124126244439737,0.237979241686083,0.519381486973099
5376,0.138599913307326,0.0653446033810143,0.116384915474642,0.250975292587776,0.428695275249241
5380,0.188436123348018,0.0697136563876652,0.124449339207048,0.259471365638766,0.357929515418502
5390,0.0432466311501097,0.0189073435704586,0.292593753264389,0.0988195967826178,0.546432675232425
