"NAME_2","ID_2","Cod.Municipio"
"Nuevo Colón",257,15494
"Oicatá",258,15500
"Otanche",259,15507
"Páez",260,15514
"Pachavita",261,15511
"Paipa",262,15516
"Pajarito",263,15518
"Panqueba",264,15522
"Pauna",265,15531
"Paya",266,15533
"Paz de Río",267,15537
"Pesca",268,15542
"Pisba",269,15550
"Puerto Boyacá",270,15572
"Quípama",271,15580
"Ráquira",272,15600
"Ramiriquí",273,15599
"Rondón",274,15621
"Sáchica",275,15638
"Saboyá",276,15632
"Samacá",277,15646
"San Eduardo",278,15660
"San José de Pare",279,15664
"San Luis de Gaceno",280,15667
"San Mateo",281,15673
"San Miguel de Sema",282,15676
"San Pablo de Borbur",283,15681
"Santa María",284,15690
"Santa Rosa de Viterbo",285,15693
"Santa Sofía",286,15696
"Santana",287,15686
"Sativanorte",288,15720
"Sativasur",289,15723
"Siachoque",290,15740
"Soatá",291,15753
"Socha",292,15757
"Socotá",293,15755
"Sogamoso",294,15759
"Somondoco",295,15761
"Soracá",296,15764
"Sora",297,15762
"Sotaquirá",298,15763
"Susacón",299,15774
"Sutamarchán",300,15776
"Sutatenza",301,15778
"Tasco",302,15790
"Tenza",303,15798
"Tibaná",304,15804
"Tibasosa",305,15806
"Tinjacá",306,15808
"Tipacoque",307,15810
"Toca",308,15814
"Toguí",309,NA
"Topagá",310,NA
"Tota",311,15822
"Tunja",312,15001
"Tunungua",313,NA
"Turmequé",314,15835
"Tuta",315,15837
"Tutazá",316,15839
"Umbita",317,NA
"Ventaquemada",318,15861
"Villa de Leyva",319,15407
"Viracachá",320,15879
"Zetaquirá",321,NA
"Ayapel",322,23068
"Buenavista",323,15109
"Canalete",324,23090
"Cereté",325,23162
"Chimá",326,23168
"Chinú",327,23182
"Ciénaga de Oro",328,23189
"Los Córdobas",329,23419
"Moñitos",330,23500
"Momil",331,23464
"Montelíbano",332,23466
"Montería",333,23001
"Planeta Rica",334,23555
"Pueblo Nuevo",335,23570
"Puerto Escondido",336,23574
"Puerto Libertador",337,23580
"Purísima",338,NA
"San Andrés de Sotavento",339,23670
"San Antero",340,23672
"San Bernardino de Sahagún",341,NA
"San Bernardo del Viento",342,23675
"San Carlos",343,5649
"San Pelayo",344,23686
"Santa Cruz de Lorica",345,NA
"Tierralta",346,23807
"Valencia",347,23855
"Aguadas",348,17013
"Anserma",349,17042
"Aranzazú",350,NA
"Belalcázar",351,17088
"Chinchiná",352,17174
