"Cod.Municipio","NEG_MUL_AFRO","NO_INFORMA","PALEN","INDIGENA","RAIZAL","ROM","SIN_ETNIA","AFRO"
5001,0.06198280722865,0.0412219710711799,0,0.00134280557264313,0.00011205046500943,4.5000186750775e-07,0.89533991566065,0.0620948576936594
5002,0.00397124616699342,0.00658523098577389,0,0.000100537877645403,0,0,0.989342984969587,0.00397124616699342
5021,0.00348525469168901,0.00214477211796247,0,0.000268096514745308,0.000268096514745308,0,0.993833780160858,0.00375335120643432
5030,0.00280287663654804,0.00121703853955375,0,3.68799557440531e-05,0,0,0.995943204868154,0.00280287663654804
5031,0.00285686139296621,0.00349719239483795,0,0.000295537385479263,0,0,0.993350408826717,0.00285686139296621
5034,0.0164131980429491,0.0040972741076378,0,0.00183172254223808,0,0,0.977657805307175,0.0164131980429491
5036,0.00117677824267782,0.0780596234309623,0,0.000653765690376569,0,0,0.920109832635983,0.00117677824267782
5038,0.232802522027322,0.00468838412416134,0,0,0,0,0.762509093848517,0.232802522027322
5040,0.0370408798505914,0.0246939199003943,0,0.00186760738742478,0.000207511931936086,0,0.936190080929654,0.0372483917825275
5042,0.29230973333923,0.00243222924866227,0,0.000132667049927033,4.42223499756777e-05,0.0011940034493433,0.703887144562862,0.292353955689205
5044,0.00515533848867182,0.00501967168633835,0,0,0,0,0.98982498982499,0.00515533848867182
5045,0.401658591683263,0.057530541271587,0,0.00612311625003715,0.00023779092233154,7.43096632286062e-06,0.534442528906459,0.401896382605594
5051,0.333483681819646,0.0186539514803956,0,0.0226167080125004,0.000161087663906698,0,0.625084571023551,0.333644769483553
5079,0.0398147930523891,0.00230333513526218,0,4.70068394951465e-05,2.35034197475733e-05,0,0.957811361553106,0.0398382964721367
5086,0.207391865719819,0.00290510006455778,0,0,0.000484183344092963,0,0.78921885087153,0.207876049063912
5088,0.0751287488639806,0.0203665823979325,0,0.00136992544495768,4.02130756836893e-05,0,0.903094530217445,0.0751689619396643
5093,0.028022802280228,0.00504050405040504,0,0.0024002400240024,0,0,0.964536453645365,0.028022802280228
5101,0.0527589889640441,0.00384478462086152,0,0.00893556425774297,0.000177999288002848,0,0.934282662869348,0.052936988252047
5107,0.118194392053313,0.004149377593361,0,0,0,0,0.877656230353326,0.118194392053313
5120,0.271558003197726,0.00376621069461716,0,0.0208918102682537,0.00021318173743116,0,0.703570794101972,0.271771184935157
5129,0.0204234341300233,0.00193670496060566,0,0.00096835248030283,2.93440145546312e-05,0,0.976642164414514,0.020452778144578
5138,0.0193728054243855,0.00193728054243855,0,0.000242160067804819,0,0,0.978447753965371,0.0193728054243855
5142,0.0191700021065936,0.00737307773330525,0,0.00189593427427849,0,0,0.971560985885823,0.0191700021065936
5145,0.0026031982149498,0.0126441056154704,0,0.000371885459278542,0,0,0.984380810710301,0.0026031982149498
5147,0.335319430652102,0.0174729276020239,0,0.00203338535016787,0.000141864094197759,2.36440156996264e-05,0.645008748285809,0.3354612947463
5148,0.0276069127123609,0.0199179847685999,0,0,7.3227885178676e-05,0,0.952401874633861,0.0276801405975395
5150,0.00585390684652583,0.000763553066938152,0,0,0,0,0.993382540086536,0.00585390684652583
5154,0.0985443636406084,0.0177781409410858,0,0.0110310854821577,3.50193189909767e-05,0,0.872611390617157,0.0985793829595994
5172,0.3802037015286,0.00209742101112472,0,0.0359581858147222,3.35587361779955e-05,0,0.581707132909375,0.380237260264778
5190,0.0122699386503067,0.000727877716543621,0,0.000207965061869606,0,0,0.98679421857128,0.0122699386503067
5197,0.00188732000559206,0.0114637215154481,0,0.000838808891374249,6.9900740947854e-05,0,0.985740248846638,0.00195722074653991
5206,0.00498866213151927,0.000226757369614512,0,0,0,0,0.994784580498866,0.00498866213151927
5209,0.00456986714406859,0.00179025723169698,0,0.000376896259304626,4.71120324130783e-05,0,0.993215867332517,0.00461697917648167
5212,0.00293059377086013,0.0298920564627733,0,4.88432295143355e-05,1.62810765047785e-05,0,0.967112225460347,0.00294687484736491
5234,0.00672294394176818,0.00808775211039782,0,0.144619117424051,0,0,0.840570186523783,0.00672294394176818
5237,0.00225237907539839,0.018244270510727,0,0.000506785291964638,0,0,0.97899656512191,0.00225237907539839
5240,0.00389831884999594,0.000974579712498985,0,8.12149760415821e-05,8.12149760415821e-05,0,0.994964671485422,0.00397953382603752
5250,0.205879245681686,0.00594263377528921,0,0.0201521314246474,2.6411705667952e-05,0,0.767999577412709,0.205905657387354
5264,0.0683861807856129,0.00709891150023663,0,0,0,0,0.92451490771415,0.0683861807856129
5266,0.0295944381391264,0.0227675847083046,0,0.000456264222611314,0.000171099083479243,0.000245242019653581,0.946765371826825,0.0297655372226056
5282,0.00323280634161463,0.0318409282139852,0,0.000177140073513131,4.42850183782826e-05,0,0.964704840352509,0.00327709135999291
5284,0.009583804447316,0.00506111021375114,0,0.104506541754159,0,0,0.880848543584774,0.009583804447316
5306,0.00217076700434153,0.000964785335262904,0,0,0,0,0.996864447660396,0.00217076700434153
5308,0.714185622868887,0.0248727170816012,0,0.000373674622822178,0.000163482647484703,0,0.260404502779205,0.714349105516372
5310,0.257725532104373,0.0374031525514293,0,0.000801496126102057,0,0,0.704069819218096,0.257725532104373
5318,0.00321988277614268,0.0354187105375695,0,0.000352174678640606,0,0,0.961009232007647,0.00321988277614268
5321,0.000172413793103448,0.0103448275862069,0,0,0.000172413793103448,0,0.989310344827586,0.000344827586206897
5347,0.0076138267093041,0.000304553068372164,0,0.000456829602558246,0,0,0.991624790619765,0.0076138267093041
